book_id,title,author,price,stock,category
9780007116263,"The Lord of the Rings, the Return of the King",Jude Fisher,113000,10,Imaginary wars and battles
9780007117536,All Families are Psychotic,Douglas Coupland,325000,9,Dysfunctional families
9780007119332,Death in the Clouds,Agatha Christie,334000,13,Detective and mystery stories
9780007119356,Appointment with Death,Agatha Christie,352000,12,Detective and mystery stories
9780007120680,Hallowe'en Party,Agatha Christie,362000,16,Poirot
9780007120697,Hercule Poirot's Christmas,Agatha Christie,200000,13,Christmas stories
9780007120819,The Big Four,Agatha Christie,344000,9,Detective and mystery stories
9780007120864,The Thirteen Problems,Agatha Christie,269000,13,Detective and mystery stories
9780007120871,They Do it with Mirrors,Agatha Christie,107000,13,American fiction
9780007120963,A Murder is Announced,Agatha Christie,159000,18,Detective and mystery stories
9780007120987,The Mirror Crack'd from Side to Side,Agatha Christie,314000,5,Marple
9780007121007,Mrs McGinty's Dead,Agatha Christie,391000,20,Belgians
9780007121014,Taken at the Flood,Agatha Christie,128000,10,Fiction
9780007121021,The Hollow,Agatha Christie,265000,5,Detective and mystery stories
9780007121106,Third Girl,Agatha Christie,262000,20,Belgians
9780007124015,The Lord of the Rings,J. R. R. Tolkien,395000,17,Baggins
9780007126903,The Metaphysical Club,Louis Menand,245000,5,Cambridge (Mass.)
9780007129652,Wilkins' Tooth,Diana Wynne Jones,247000,6,Business enterprises
9780007130313,Cut,Patricia McCormick,320000,17,Emotional problems
9780007135653,The Lord of the Rings,Gary Russell,334000,11,Characters and characteristics in motion pictures
9780007136582,The Lord of the Rings,John Ronald Reuel Tolkien,284000,12,Fantasy fiction
9780007136599,The Fellowship of the Ring,John Ronald Reuel Tolkien;Alan Lee,308000,14,Baggins
9780007137336,Lirael,Garth Nix,106000,19,Fantasy fiction
9780007149124,Tales from the Perilous Realm,John Ronald Reuel Tolkien,287000,5,Fairy tales
9780007149827,The Yiddish Policemen's Union,Michael Chabon,118000,10,Fiction
9780007151240,The Family Way,Tony Parsons,257000,16,Parenthood
9780007151677,Endless Night,Agatha Christie,124000,5,FICTION
9780007153589,How to be Alone,Jonathan Franzen,208000,17,Literary Collections
9780007154845,The Mysterious Mr. Quin,Agatha Christie,359000,17,Detective and mystery stories
9780007154883,The Listerdale Mystery,Agatha Christie,345000,18,Detective and mystery stories
9780007158058,The Real Trial of Oscar Wilde,Merlin Holland,378000,17,Biography & Autobiography
9780007158522,"Oh, the Places You'll Go!",Dr. Seuss,119000,5,Adventure stories
9780007162994,If I Die in a Combat Zone,Tim O'Brien,330000,19,Vietnam War
9780007171996,The Return of the King,J. R. R. Tolkien,267000,11,Baggins
9780007173020,The Silmarillion,John Ronald Reuel Tolkien;Ted Nasmith,360000,5,Fiction
9780007179817,Microserfs,Douglas Coupland,221000,20,Computer programmers
9780007179824,Miss Wyoming,Douglas Coupland,189000,9,Actors
9780007189953,Where Rainbows End,Cecelia Ahern,251000,12,Friendship
9780007190683,Poirot,Agatha Christie,336000,19,Authors
9780007191925,The Art of The Lord of the Rings,Gary Russell,367000,14,Costume
9780007195718,Discover Your Destiny with the Monk Who Sold His Ferrari,Robin Sharma,393000,6,Conduct of life
9780007204441,Naked Lunch,William S. Burroughs,204000,20,Alienation (Social psychology)
9780007204465,Tropic of Cancer,Henry Miller,357000,15,Fiction
9780020264736,The Song of Rhiannon,Evangeline Walton,193000,7,Fiction
9780020360759,Heart Songs and Other Stories,Annie Proulx,236000,13,Fiction
9780020442608,The voyage of the Dawn Treader,Clive Staples Lewis,349000,11,Juvenile Fiction
9780020867401,"The Screwtape Letters ; With, Screwtape Proposes a Toast",Clive Staples Lewis,356000,16,Christianity
9780024181909,The Elements of Style,William Strunk;Elwyn Brooks White,198000,5,Language Arts & Disciplines
9780027897500,The Journey with Grandmother,Edith Unnerstad,318000,19,Grandmothers
9780029131695,Tyranny of the Majority,Lani Guinier,387000,17,History
9780029221303,The Origins of the Civil Rights Movement,Aldon D. Morris,354000,6,History
9780030547744,Where the Red Fern Grows,Wilson Rawls,177000,8,Juvenile Fiction
9780060000141,Poppy's Return,Avi,178000,14,Juvenile Fiction
9780060001537,Diary of a Spider,Doreen Cronin,246000,7,Juvenile Fiction
9780060004507,An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,358000,19,Juvenile Fiction
9780060005696,The Paradox of Choice,Barry Schwartz,318000,11,Business & Economics
9780060009427,How to Read Literature Like a Professor,Thomas C. Foster,332000,14,Literary Criticism
9780060012342,The Amazing Maurice and His Educated Rodents,Terry Pratchett,293000,15,Juvenile Fiction
9780060012380,The Wee Free Men,Terry Pratchett,157000,9,Juvenile Fiction
9780060013134,Going Postal,Terry Pratchett,262000,6,Fiction
9780060084387,Modern Mind,Peter Watson,288000,12,Science
9780060085445,She Went All the Way,Meg Cabot,269000,11,Fiction
9780060088743,A Year in the Life of William Shakespeare,James Shapiro,161000,6,Biography & Autobiography
9780060090371,Lucy Sullivan Is Getting Married,Marian Keyes,283000,12,Fiction
9780060093747,The Art of the Novel,Milan Kundera,132000,12,Literary Criticism
9780060094935,The Bromeliad Trilogy,Terry Pratchett,334000,19,Juvenile Fiction
9780060099459,"Merry Christmas, Amelia Bedelia",Peggy Parish,315000,14,Juvenile Fiction
9780060175641,Identity,Milan Kundera,120000,8,Fiction
9780060177249,The thief of always,Clive Barker,112000,13,Fiction
9780060218058,The Last of the Really Great Whangdoodles,Julie Andrews Edwards,311000,8,Juvenile Fiction
9780060245603,Today I Feel Silly & Other Moods That Make My Day,Jamie Lee Curtis,229000,5,Juvenile Fiction
9780060256579,The Missing Piece Meets the Big O,Shel Silverstein,225000,19,Juvenile Fiction
9780060256753,"Lafcadio, the Lion Who Shot Back",Shel Silverstein,340000,16,Juvenile Fiction
9780060277406,The Secret Garden Cookbook,Amy Cotler,129000,15,Juvenile Nonfiction
9780060278427,Laura's Album,William Anderson,326000,8,Juvenile Nonfiction
9780060391539,Quivers,Robin Quivers,223000,10,African Americans in radio broadcasting
9780060502959,Moonspinners,Mary Stewart,345000,15,Fiction
9780060504083,Small Wonder,Barbara Kingsolver,286000,7,Literary Collections
9780060506049,Worlds Enough & Time,Dan Simmons,316000,8,Fiction
9780060507404,The Cheese Monkeys,Chip Kidd,211000,8,Fiction
9780060509057,Travels,Michael Crichton,132000,12,Biography & Autobiography
9780060510855,Caesar,Colleen McCullough,333000,6,Fiction
9780060510862,The Forever War,Joe Haldeman,323000,18,Fiction
9780060511067,Amelia Bedelia Goes Camping,Peggy Parish,346000,14,Juvenile Fiction
9780060511104,The Secret Sister,Elizabeth Lowell,334000,20,Fiction
9780060511111,Amelia Bedelia Helps Out,Peggy Parish,338000,16,Juvenile Fiction
9780060511135,Whirlpool,Elizabeth Lowell,178000,12,Fiction
9780060512804,Cryptonomicon,Neal Stephenson,130000,20,Fiction
9780060515195,Anansi Boys,Neil Gaiman,346000,9,Fiction
9780060515225,Fragile Things,Neil Gaiman,217000,14,Fiction
9780060516055,What Went Wrong?,Bernard Lewis,233000,9,History
9780060518653,Letters from the Earth,Mark Twain,193000,20,Literary Criticism
9780060519131,Savannah Blues,Mary Kay Andrews,294000,11,Fiction
9780060521226,The Whipping Boy,Sid Fleischman,256000,15,Juvenile Fiction
9780060521998,The Innovator's Dilemma,Clayton M. Christensen,345000,20,Business & Economics
9780060524937,A Nose for Murder,Lee Charles Kelley,280000,9,Fiction
9780060525101,Happiness,Will Ferguson,166000,10,Fiction
9780060525118,Size 12 Is Not Fat,Meg Cabot,164000,12,Fiction
9780060527983,Warrior of the Light,Paulo Coelho,378000,13,Fiction
9780060527990,The Devil and Miss Prym,Paulo Coelho,193000,15,Fiction
9780060529574,The Big Bing,Stanley Bing,110000,6,Business & Economics
9780060531041,One Hundred Years of Solitude,Gabriel Garcia Marquez,187000,12,Fiction
9780060535117,Walt Whitman,Justin Kaplan,108000,16,Biography & Autobiography
9780060539092,How to Make Love Like a Porn Star,Jenna Jameson;Neil Strauss,171000,5,Biography & Autobiography
9780060540944,1421,Gavin Menzies,200000,15,History
9780060541835,Congo,Michael Crichton,326000,9,Fiction
9780060541880,Johnny and the Dead,Terry Pratchett,219000,8,Juvenile Fiction
9780060543495,The Girls of Lighthouse Lane #3,Thomas Kinkade;Erika Tamar,327000,5,Juvenile Fiction
9780060545840,The Bradbury Chronicles,Sam Weller,225000,18,Biography & Autobiography
9780060546571,Three Rotten Eggs,Gregory Maguire,232000,17,Juvenile Fiction
9780060548285,The Wicked Day,Mary Stewart,321000,6,Fiction
9780060554736,The Game,Neil Strauss,346000,8,Biography & Autobiography
9780060556501,"The Lion, the Witch and the Wardrobe (picture book edition)",C. S. Lewis,350000,9,Juvenile Fiction
9780060556525,Gold,Isaac Asimov,221000,14,Fiction
9780060564780,The Kindness of Strangers,Katrina Kittle,343000,15,Fiction
9780060566104,Built to Last,Jim Collins;Jerry I. Porras,246000,7,Business & Economics
9780060566685,Fluke,Christopher Moore,298000,7,Fiction
9780060567231,Lord of Light,Roger Zelazny,173000,15,Fiction
9780060570583,The Perennial Philosophy,Aldous Huxley,375000,6,Philosophy
9780060572006,A Crack in the Edge of the World,Simon Winchester,270000,14,History
9780060572969,Dead Witch Walking,Kim Harrison,198000,9,Fiction
9780060572976,"The Good, the Bad, and the Undead",Kim Harrison,170000,5,Fiction
9780060574215,"Men Are from Mars, Women Are from Venus",John Gray,255000,10,Family & Relationships
9780060575816,Sabriel (adult),Garth Nix,151000,17,Fiction
9780060577049,Slouching Toward Nirvana,Charles Bukowski,102000,16,Poetry
9780060577865,Bad Childhood---Good Life,Laura Schlessinger,294000,9,Self-Help
9780060578114,Cat Cross Their Graves,Shirley Rousseau Murphy,370000,14,Fiction
9780060578121,Cat Breaking Free,Shirley Rousseau Murphy,382000,16,Fiction
9780060580339,Slider,Patrick Robinson,358000,17,Sports & Recreation
9780060582500,The Black Dahlia Files,Don Wolfe,245000,9,True Crime
9780060584023,Metro Girl,Janet Evanovich,381000,18,Fiction
9780060584030,Motor Mouth,Janet Evanovich,308000,6,Fiction
9780060584757,Mystic River,Dennis Lehane,356000,13,Fiction
9780060586546,Great Short Works of Herman Melville,Herman Melville,323000,20,Fiction
9780060587031,The Day I Swapped My Dad for Two Goldfish,Neil Gaiman,293000,8,Juvenile Fiction
9780060589288,Eleven Minutes,Paulo Coelho,247000,20,Fiction
9780060589462,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,221000,17,Psychology
9780060590154,Ulysses S. Grant,Michael Korda,399000,20,Biography & Autobiography
9780060590277,A Dirty Job,Christopher Moore,302000,20,Fiction
9780060593087,Quicksilver,Neal Stephenson,209000,20,Fiction
9780060593247,Every Book Its Reader,Nicholas A. Basbanes,240000,15,Literary Criticism
9780060593636,Flirting With Danger,Suzanne Enoch,205000,17,Fiction
9780060594527,Lost Horizon,James Hilton,382000,8,Fiction
9780060595180,The Doors of Perception and Heaven and Hell,Aldous Huxley,354000,14,Philosophy
9780060598808,Thanksgiving,Janet Evanovich,240000,14,Fiction
9780060598846,Love Overboard,Janet Evanovich,287000,5,Fiction
9780060598853,Back to the Bedroom,Janet Evanovich,177000,6,Fiction
9780060598891,The Rocky Road to Romance,Janet Evanovich,272000,5,Fiction
9780060598969,Thomas Jefferson,Christopher Hitchens,183000,17,Biography & Autobiography
9780060598976,Muhammad,Karen Armstrong,174000,19,Biography & Autobiography
9780060609177,Meeting Jesus Again for the First Time,Marcus J. Borg,230000,13,Religion
9780060609191,Reading the Bible Again for the First Time,Marcus J. Borg,151000,11,Religion
9780060622138,Shadow of the Almighty,Elisabeth Elliot,361000,8,Religion
9780060645892,The Dance of the Dissident Daughter,Sue Monk Kidd,202000,17,Religion
9780060652852,C.S. Lewis,C. S. Lewis,359000,16,Religion
9780060652890,The Screwtape Letters,C. S. Lewis,103000,5,Religion
9780060652920,Mere Christianity,C. S. Lewis,208000,18,Religion
9780060654856,Learning to Love,Thomas Merton,245000,14,Religion
9780060725143,The Mediator #4: Darkest Hour,Meg Cabot,256000,10,Juvenile Fiction
9780060727536,Cash,Johnny Cash,260000,19,Biography & Autobiography
9780060727635,"The Collected Letters of C.S. Lewis, Volume 1",C. S. Lewis,260000,15,Biography & Autobiography
9780060730550,Touching the Void,Joe Simpson,111000,17,Sports & Recreation
9780060731304,Anybody Out There?,Marian Keyes,302000,8,Fiction
9780060732707,My Little Pony: Hide-and-Seek,Jennifer Frantz,140000,18,Juvenile Fiction
9780060733353,The Confusion,Neal Stephenson,394000,14,Fiction
9780060734015,Bridge to Terabithia (rack),Katherine Paterson,377000,18,Juvenile Fiction
9780060735425,Practical Demonkeeping,Christopher Moore,322000,20,Fiction
9780060735449,Island of the Sequined Love Nun,Christopher Moore,342000,10,Fiction
9780060735456,The Lust Lizard of Melancholy Cove,Christopher Moore,391000,6,Fiction
9780060736255,Weetzie Bat,Francesca Lia Block,205000,15,Juvenile Fiction
9780060737047,Behind the Curtain,Peter Abrahams,138000,20,Juvenile Fiction
9780060745905,Wicked Musical Tie-in Edition,Gregory Maguire,113000,12,Fiction
9780060747220,Son of a Witch,Gregory Maguire,297000,8,Fiction
9780060747473,This Rough Magic,Mary Stewart,148000,13,Fiction
9780060747480,Airs Above the Ground,Mary Stewart,373000,6,Fiction
9780060751647,The Mediator #5: Haunted,Meg Cabot,322000,18,Juvenile Fiction
9780060753108,Beauty,Robin McKinley,140000,6,Juvenile Fiction
9780060753634,Mating in Captivity,Esther Perel,216000,6,Psychology
9780060754006,Forgotten New York,Kevin Walsh,231000,20,Travel
9780060758769,The Dead Beat,Marilyn Johnson,344000,7,Social Science
9780060760250,Charms for the Easy Life,Kaye Gibbons,272000,8,Fiction
9780060760441,The Reading Group,Elizabeth Noble,118000,15,Fiction
9780060760823,A Couple of April Fools,Gregory Maguire,381000,18,Juvenile Fiction
9780060761530,What Christians Believe,C. S. Lewis,157000,10,Religion
9780060763725,Psyche in a Dress,Francesca Lia Block,121000,7,Juvenile Fiction
9780060765316,YOU: The Owner's Manual,Michael F Roizen;Mehmet C Oz,374000,5,Health & Fitness
9780060765453,The Chronicles of Narnia Movie Tie-in Edition (adult),C. S. Lewis,392000,12,Fiction
9780060765484,"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack)",C. S. Lewis,281000,17,Juvenile Fiction
9780060773755,A Quick Bite,Lynsay Sands,385000,12,Fiction
9780060775858,Goodnight Moon 60th Anniversary Edition,Margaret Wise Brown,180000,10,Juvenile Fiction
9780060776091,Brave New World and Brave New World Revisited,Aldous Huxley,246000,18,Fiction
9780060777104,The Final Solution,Michael Chabon,355000,9,Fiction
9780060777333,The Cat's Pajamas,Ray Bradbury,364000,13,Fiction
9780060778019,Holy Skirts,Rene Steinke,119000,13,Fiction
9780060782139,Time For Kids: Butterflies!,Editors of TIME For Kids,330000,5,Juvenile Nonfiction
9780060786731,A False Mirror,Charles Todd,334000,5,Fiction
9780060787035,Cracks in My Foundation,Marian Keyes,125000,15,Fiction
9780060788193,A Fistful of Charms,Kim Harrison,169000,16,Fiction
9780060788384,For a Few Demons More,Kim Harrison,223000,9,Fiction
9780060790592,Mysteries of Pittsburgh,Michael Chabon,396000,13,Fiction
9780060792176,Everything Is Illuminated tie-in,Jonathan Safran Foer,130000,16,Fiction
9780060792787,Flight of the Nighthawks,Raymond E. Feist,344000,20,Fiction
9780060792800,Into a Dark Realm,Raymond E. Feist,228000,15,Fiction
9780060793197,The 3-Hour Diet (TM) On the Go (Collins Gem),Jorge Cruise,227000,16,Health & Fitness
9780060815523,The Best American Crime Writing 2006,Mark Bowden;Otto Penzler;Thomas H. Cook,388000,17,True Crime
9780060815912,Last of the Wilds,Trudi Canavan,251000,17,Fiction
9780060815929,Voice of the Gods,Trudi Canavan,310000,5,Fiction
9780060816223,Missing Mom,Joyce Carol Oates,165000,12,Fiction
9780060819224,"The Collected Letters of C.S. Lewis, Volume 3",C. S. Lewis,231000,9,Biography & Autobiography
9780060823726,Touch Not the Cat,Mary Stewart,281000,15,Fiction
9780060833176,King of the Vagabonds,Neal Stephenson,272000,20,Fiction
9780060833183,Odalisque,Neal Stephenson,235000,10,Fiction
9780060834005,Black Boy,Richard Wright,179000,6,Biography & Autobiography
9780060834821,The Sheltering Sky,Paul Bowles,164000,18,Fiction
9780060837167,Rat Bastards,John Shea,196000,12,Biography & Autobiography
9780060837334,The Last Days of Henry VIII,Robert Hutchinson,264000,20,Biography & Autobiography
9780060837556,The Thorn Birds,Colleen McCullough,367000,6,Fiction
9780060838591,Krakatoa,Simon Winchester,160000,12,History
9780060839789,The Professor and the Madman,Simon Winchester,359000,5,Biography & Autobiography
9780060840884,Hit Parade,Lawrence Block,192000,13,Fiction
9780060841867,The Curtain,Milan Kundera,232000,8,Literary Collections
9780060844097,"A Hard Day's Write, 3e",Steve Turner,376000,11,Music
9780060845247,"The Lion, the Witch and the Wardrobe Read-Aloud Edition",C. S. Lewis;Pauline Baynes,261000,9,Juvenile Fiction
9780060845308,"Mambo Kings Play Songs of Love, The Tie-in",Oscar Hijuelos,329000,5,Fiction
9780060846732,Sex with the Queen,Eleanor Herman,399000,16,History
9780060851989,Queen of Babble,Meg Cabot,216000,16,Fiction
9780060852559,"Animal, Vegetable, Miracle",Barbara Kingsolver;Camille Kingsolver;Steven L. Hopp,328000,11,Biography & Autobiography
9780060853983,Good Omens,Neil Gaiman;Terry Pratchett,333000,5,Fiction
9780060854096,Dates From Hell,Kim Harrison;Lynsay Sands;Kelley Armstrong;Lori Handeland,281000,10,Fiction
9780060854942,Continental Drift,Russell Banks,356000,18,Fiction
9780060872793,The Burglar Who Thought He Was Bogart,Lawrence Block,253000,6,Fiction
9780060872984,Next,Michael Crichton,304000,14,Fiction
9780060880125,How to Be Popular,Meg Cabot,381000,6,Juvenile Fiction
9780060882600,The Annotated Charlotte's Web,E. B. White,326000,14,Juvenile Nonfiction
9780060882860,The Autumn of the Patriarch,Gabriel Garcia Marquez,163000,16,Fiction
9780060884055,How to Make Money Like a Porn Star,Neil Strauss;Bernard Chang,344000,12,Comics & Graphic Novels
9780060885373,Little House in the Big Woods,Laura Ingalls Wilder,205000,5,Juvenile Fiction
9780060885380,Farmer Boy,Laura Ingalls Wilder,319000,8,Juvenile Fiction
9780060885427,The Long Winter,Laura Ingalls Wilder,336000,8,Juvenile Fiction
9780060885458,The First Four Years,Laura Ingalls Wilder,287000,16,Juvenile Fiction
9780060887964,The Alchemist - Gift Edition,Paulo Coelho,149000,12,Fiction
9780060889449,Pretty Things,Liz Goldwyn,234000,8,Biography & Autobiography
9780060891565,Eaters of the Dead,Michael Crichton,338000,20,Fiction
9780060894085,Genome,Matt Ridley,384000,16,Science
9780060898656,The Zero,Jess Walter,207000,8,Fiction
9780060899226,Kitchen Confidential Updated Ed,Anthony Bourdain,177000,13,Biography & Autobiography
9780060906825,DREAM & THE UNDERWOR,James Hillman,306000,10,Psychology
9780060913076,The Crying of Lot 49,Thomas Pynchon,342000,20,Fiction
9780060915186,An American Childhood,Annie Dillard,205000,11,Biography & Autobiography
9780060915438,Holy the Firm,Annie Dillard,365000,17,Literary Criticism
9780060916091,Think on These Things,Jiddu Krishnamurti,263000,11,Religion
9780060916466,The Dance of Intimacy,Harriet Lerner,218000,17,Psychology
9780060916510,Jonah's Gourd Vine,Zora Neale Hurston,165000,9,Fiction
9780060916817,The Chaneysville Incident,David Bradley,188000,8,History
9780060919887,The Writing Life,Annie Dillard,320000,8,Literary Criticism
9780060921712,The Complete Stories,Zora Neale Hurston,170000,17,Fiction
9780060922559,"Legends, Lies & Cherished Myths of World History",Richard Shenkman,221000,19,History
9780060924980,The Infinite Plan,Isabel Allende,115000,13,Fiction
9780060925758,Soul Mates,Thomas Moore,140000,16,Psychology
9780060927196,Success Stories,Russell Banks,346000,19,Fiction
9780060927516,Testaments Betrayed,Milan Kundera,110000,10,Literary Collections
9780060927547,Mr. Ives' Christmas,Oscar Hijuelos,327000,11,Fiction
9780060928414,Slowness,Milan Kundera,382000,9,Fiction
9780060929596,As Nature Made Him,John Colapinto,157000,10,Medical
9780060929602,The Active Side of Infinity,Carlos Castaneda,179000,7,Body
9780060930134,The Fifth Mountain,Paulo Coelho,252000,7,Fiction
9780060930219,V.,Thomas Pynchon,310000,5,Fiction
9780060930318,Identity,Milan Kundera,201000,18,Fiction
9780060930530,The Poisonwood Bible,Barbara Kingsolver,274000,5,Fiction
9780060930868,Cloudsplitter,Russell Banks,175000,7,Fiction
9780060931360,"Plato, Not Prozac!",Lou Marinoff,186000,16,Philosophy
9780060931803,The Map That Changed the World,Simon Winchester;Soun Vannithone,161000,5,Biography & Autobiography
9780060932664,Collected Novellas,Gabriel Garcia Marquez,381000,19,Fiction
9780060932688,Collected Stories,Gabriel Garcia Marquez,300000,7,Fiction
9780060933524,A Mulligan for Bobby Jobe,Robert Cullen,183000,18,Fiction
9780060934439,In the Footsteps of Mr. Kurtz,Michela Wrong,388000,16,History
9780060934545,Every Tongue Got to Confess,Zora Neale Hurston,346000,15,Literary Criticism
9780060935559,One Matchless Time,Jay Parini,373000,20,Biography & Autobiography
9780060936198,The Girl in the Glass,Jeffrey Ford,375000,9,Fiction
9780060936501,The Best American Science Writing 2002,Matt Ridley;Alan Lightman,160000,5,Science
9780060936648,Wittgenstein's Poker,David Edmonds;John Eidinow,126000,15,Philosophy
9780060936662,Smart Discipline(R),Larry Koenig,343000,5,Family & Relationships
9780060938109,The Schopenhauer Cure,Irvin Yalom,256000,10,Fiction
9780060954833,African Nights,Kuki Gallmann,359000,10,Biography & Autobiography
9780060955427,The Autobiography of Mark Twain,Charles Neider,124000,6,Biography & Autobiography
9780060956868,Joy in the Morning,Betty Smith,317000,8,Fiction
9780060957261,Beauty,John O'Donohue,179000,7,Body
9780060957353,The Darling,Russell Banks,270000,13,Fiction
9780060957605,The Making of a Philosopher,Colin McGinn,347000,13,Philosophy
9780060958336,The Language Instinct,Steven Pinker,169000,18,Language Arts & Disciplines
9780060959036,Prodigal Summer,Barbara Kingsolver,255000,17,Fiction
9780060973339,Fear of Falling,Barbara Ehrenreich,205000,10,Social Science
9780060974367,The Hidden Hand,Carroll John Daly,384000,5,Fiction
9780060974688,Europe,Norman Davies,399000,20,History
9780060974992,Savage Inequalities,Jonathan Kozol,112000,5,Education
9780060975005,Gold Bug Variations,Richard Powers,382000,10,Fiction
9780060975098,Three Farmers on Their Way to a Dance,Richard Powers,364000,12,Fiction
9780060975944,The Fourteen Sisters of Emilio Montez O'Brien,Oscar Hijuelos,289000,6,Fiction
9780060976095,Fiskadoro,Denis Johnson,121000,10,Fiction
9780060976101,The Stars at Noon,Denis Johnson,130000,5,Fiction
9780060976118,Operation Wandering Soul,Richard Powers,209000,18,Fiction
9780060976729,Reasons to Live,Amy Hempel,363000,7,Fiction
9780060977085,Prisoner's Dilemma,Richard Powers,260000,15,Fiction
9780060977498,The God of Small Things,Arundhati Roy,128000,16,Fiction
9780060987329,Girlfriend in a Coma,Douglas Coupland,206000,17,Fiction
9780060987466,The Long Hard Road Out of Hell,Marilyn Manson;Neil Strauss,232000,7,Biography & Autobiography
9780060987527,Confessions of an Ugly Stepsister,Gregory Maguire,282000,19,Fiction
9780060989156,The Dirt,Tommy Lee;Vince Neil;Nikki Sixx;Mick Mars,146000,8,Biography & Autobiography
9780060997021,Life Is Elsewhere,Milan Kundera;Aaron Asher,193000,5,Fiction
9780061015625,Cat Laughing Last,Shirley Rousseau Murphy,391000,19,Fiction
9780061020094,The Crow: The Lazarus Heart,Poppy Z. Brite,133000,15,Fiction
9780061020575,Well of Darkness,Margaret Weis;Tracy Hickman,208000,7,Fiction
9780061020704,The Light Fantastic,Terry Pratchett,291000,12,Fiction
9780061030659,U.S.S. Seawolf,Patrick Robinson,356000,6,Fiction
9780061052392,Realms of Dragons,Margaret Weis;Denise Little;Tracy Hickman,289000,19,Fiction
9780061053566,The Player of Games,Iain Banks,128000,18,Fiction
9780061053665,My Soul to Keep,Tananarive Due,217000,6,Fiction
9780061054679,Peril's Gate,Janny Wurts,320000,9,Fiction
9780061054686,Fugitive Prince,Janny Wurts,182000,5,Fiction
9780061054907,Love in Vein,Poppy Z. Brite,202000,14,Fiction
9780061056000,Cat on the Edge,Shirley Rousseau Murphy,274000,5,Fiction
9780061059476,Cat in the Dark,Shirley Rousseau Murphy,175000,8,Fiction
9780061093982,Treasure Box,Orson Scott Card,333000,17,Fiction
9780061093999,Homebody,Orson Scott Card,280000,5,Fiction
9780061094156,Imajica II,Clive Barker,213000,15,Fiction
9780061094224,Choke,Stuart Woods,162000,8,Fiction
9780061094231,Dirt,Stuart Woods,204000,17,Fiction
9780061096853,Kilo Class,Patrick Robinson,125000,15,Fiction
9780061120060,Their Eyes Were Watching God,Zora Neale Hurston,291000,19,Fiction
9780061120077,A Tree Grows in Brooklyn,Betty Smith,269000,17,Fiction
9780061120251,Daughter of Fortune,Isabel Allende,157000,13,Fiction
9780061122095,By the River Piedra I Sat Down and Wept,Paulo Coelho,232000,11,Fiction
9780061122415,The Alchemist,Paulo Coelho,293000,17,Fiction
9780061124266,Veronika Decides to Die,Paulo Coelho,165000,5,Fiction
9780061127762,Charlotte's Web Signature Edition,E. B. White,187000,11,Juvenile Fiction
9780061127915,By Myself and Then Some,Lauren Bacall,188000,19,Biography & Autobiography
